Code,Location,Latitude,Longitude
ALOB,Birmingham,33.525,-86.813
AROR,Little Rock,34.7361,-92.3311
AZOB,Tempe,33.4294,-111.9431
CADN,San Ramon,37.78,-121.9781
CAGS,West Sacramento,38.5713,-121.5234
CAOP,Los Angeles,34.0522,-118.2433
CASD,San Diego,32.715,-117.1625
CORS,Denver,39.7392,-104.9903
CTOP,Hartford,41.7658,-72.6734
DCTC,"Washington, D.C.",38.9072,-77.0369
FLFH,Maitland,28.6271,-81.3591
FLMP,Miami,25.7751,-80.1947
FLUF,Gainesville,29.652,-82.325
FLWC,Tampa,27.9474,-82.4588
GALL,Norcross,33.9419,-84.2122
HIOP,Honolulu,21.3099,-157.8582
IAOP,North Liberty,41.7411,-91.6076
ILIP,Itasca,41.9747,-88.0186
INOP,Indianapolis,39.791,-86.148
KYDA,Louisville,38.25,-85.7667
LAOP,Covington,30.4789,-90.1042
MAOB,Waltham,42.3806,-71.235
MDPC,Baltimore,39.2833,-76.6167
MIOP,Ann Arbor,42.2814,-83.7483
MNOP,Minneapolis,44.9833,-93.2667
MOMA,St. Louis,38.627,-90.1994
MSOP,Flowood,32.3167,-90.1147
MWOB,Westwood,39.0383,-94.6156
NCCM,Charlotte,35.2238,-80.8411
NCNC,Greenville,34.8444,-82.3856
NEOR,Omaha,41.25,-96
NJTO,New Providence,40.6989,-74.4066
NMOP,Albuquerque,35.1107,-106.61
NVLV,Las Vegas,36.1691,-115.1406
NYAP,Albany,42.6525,-73.7572
NYFL,Rochester,43.1656,-77.6114
NYRT,Long Island City,40.7578,-73.94
NYWN,Williamsville,42.9632,-78.7429
OHLB,Cleveland,41.4822,-81.6697
OHLC,Kettering,39.6972,-84.1522
OHLP,Columbus,39.9833,-82.9833
OHOV,Cincinnati,39.1037,-84.5136
OKOP,Oklahoma City,35.4822,-97.535
ORUO,Portland,45.52,-122.6819
PADV,Philadelphia,39.95,-75.1667
PATF,Pittsburgh,40.4422,-79.995
PRLL,Guaynabo,18.3572,-66.1109
SCOP,Charleston,32.7831,-79.9344
TNDS,Nashville,36.1667,-86.7833
TNMS,Shelby,35.1269,-89.9253
TXGC,Houston,29.7628,-95.3831
TXSA,San Antonio,29.4167,-98.5
TXSB,Dallas,32.7758,-96.7967
UTOP,Murray,40.6525,-111.8933
VATB,Virginia Beach,36.8516,-75.9792
WALC,Bellevue,47.6137,-122.1909
WIDN,Milwaukee,43.05,-87.95
WIUW,Madison,43.067,-89.4
