,cluster,latitude,longitude,supply
0,3500,33.1934,-86.7944,9.0
1,3520,33.480199999999996,-86.80705,32.0
2,3521,33.4816,-86.859,42.0
3,3523,33.569500000000005,-86.72479999999999,226.0
4,3540,33.1969,-87.5627,36.0
5,3547,33.2273,-87.5943,2.0
6,3560,34.5896,-86.9887,8.0
7,3563,34.8305,-87.656,10.0
8,3580,34.7269,-86.5673,138.0
9,3590,34.01625,-85.91615,11.0
10,3610,32.3543,-86.2673,14.0
11,3611,32.34325,-86.2127,47.0
12,3620,33.6803,-85.7137,13.0
13,3630,31.1839,-85.4273,30.0
14,3653,30.45095,-87.7846,14.0
15,3660,30.687066666666666,-88.15506666666666,48.0
16,3661,30.7145,-88.0918,68.0
17,3680,32.6454,-85.3783,17.0
18,7160,34.1897,-92.0448,7.0
19,7163,33.156,-91.9975,1.0
20,7190,34.5268,-92.9587,4.0
21,7191,34.5317,-93.0638,18.0
22,7203,35.0842,-92.4236,4.0
23,7212,34.8807,-92.2303,11.0
24,7220,34.74365,-92.3098,182.0
25,7240,35.833,-90.6965,19.0
26,7265,36.3312,-92.3753,2.0
27,7270,36.052,-94.1534,30.0
28,7271,36.3577,-94.2224,5.0
29,7280,35.2842,-93.1315,1.0
30,7290,35.354,-94.3947,21.0
31,8500,33.46575,-112.02289999999999,150.0
32,8501,33.507125,-112.070525,166.0
33,8502,33.6221,-112.07775,96.0
34,8503,33.557550000000006,-112.12559999999999,38.0
35,8505,33.6731,-111.9461,4.0
36,8520,33.3995,-111.71995,121.0
37,8522,33.3301,-111.8632,48.0
38,8525,33.595200000000006,-111.90295,53.0
39,8526,33.6013,-111.8867,6.0
40,8528,33.4227,-111.9261,4.0
41,8530,33.6389,-112.17349999999999,61.0
42,8533,33.4368,-112.3834,37.0
43,8535,33.6061,-112.2797,7.0
44,8537,33.6856,-112.3659,13.0
45,8571,32.21893333333333,-110.91456666666666,48.0
46,8572,32.2406,-110.9443,110.0
47,8574,32.2953,-111.0299,17.0
48,8600,35.1859,-111.662,32.0
49,8630,34.5917,-112.4265,10.0
50,8640,34.87235,-114.1853,7.0
51,9001,34.04965,-118.26910000000001,50.0
52,9002,34.06425,-118.245,30.0
53,9003,34.04919999999999,-118.31936666666665,133.0
54,9004,34.0737,-118.372,35.0
55,9005,33.99575,-118.2613,4.0
56,9009,33.7866,-118.2987,38.0
57,9026,33.9241,-118.2013,53.0
58,9030,33.955,-118.3556,8.0
59,9050,33.8263,-118.33230000000002,115.0
60,9060,33.955299999999994,-118.03465,27.0
61,9064,34.0133,-118.113,5.0
62,9071,33.8512,-118.1457,12.0
63,9072,33.84625,-118.114,13.0
64,9080,33.8045,-118.1876,47.0
65,9081,33.782,-118.1835,25.0
66,9100,34.1243,-118.0515,19.0
67,9110,34.1478,-118.1445,22.0
68,9120,34.14675,-118.24605,24.0
69,9130,34.1963,-118.6389,6.0
70,9132,34.2353,-118.5188,21.0
71,9134,34.2619,-118.4587,33.0
72,9135,34.282799999999995,-118.54745,18.0
73,9136,34.2092,-118.8739,14.0
74,9140,34.192566666666664,-118.45096666666667,12.0
75,9143,34.151,-118.4882,1.0
76,9150,34.169,-118.3442,22.0
77,9170,34.0964,-117.9682,2.0
78,9171,34.0125,-117.6844,2.0
79,9176,34.06303333333333,-117.6601,44.0
80,9178,34.1144,-117.6583,18.0
81,9191,32.622749999999996,-117.06205,35.0
82,9194,32.7835,-117.0189,53.0
83,9202,33.0715,-117.19085,60.0
84,9203,32.8455,-117.2521,67.0
85,9205,33.1968,-117.2831,26.0
86,9210,32.7466,-117.1636,111.0
87,9212,32.796549999999996,-117.10495,84.0
88,9213,32.7242,-117.1466,4.0
89,9220,33.7207,-116.2168,10.0
90,9224,32.7893,-115.5665,2.0
91,9226,33.8414,-116.5347,32.0
92,9227,33.7643,-116.4225,13.0
93,9232,34.0315,-117.2874,48.0
94,9233,34.0794,-117.4551,12.0
95,9235,34.05055,-117.25625,103.0
96,9239,34.4802,-117.4082,9.0
97,9240,34.1426,-117.2606,25.0
98,9250,33.94533333333334,-117.43833333333333,74.0
99,9255,33.9377,-117.1851,44.0
100,9256,33.569,-117.1783,11.0
101,9259,33.550200000000004,-117.1799,32.0
