DSA,Listing Center,Listing Center Zipcode,Number of Liver Registrations,Latitude,Longitude
ALOB-OP1 Legacy of Hope,ALCH-TX1 Children's of Alabama,35233,30,33.50559438,-86.80637319
ALOB-OP1 Legacy of Hope,ALUA-TX1 University of Alabama Hospital,35233,840,33.50625988,-86.80395553
AROR-OP1 Arkansas Regional Organ Recovery Agency,ARUA-TX1 UAMS Medical Center,72205,271,34.751,-92.3455
AZOB-OP1 Donor Network of Arizona,AZCH-TX1 Phoenix Children's Hospital,85016,79,33.5021,-112.0305
AZOB-OP1 Donor Network of Arizona,AZGS-TX1 Banner-University Medical Center Phoenix,85006,534,33.465,-112.0474
AZOB-OP1 Donor Network of Arizona,AZMC-TX1 Mayo Clinic Hospital Arizona,85054,1104,33.6731,-111.9461
AZOB-OP1 Donor Network of Arizona,AZSJ-TX1 St. Joseph's Hospital and Medical Center,85013,176,33.5085,-112.0827
AZOB-OP1 Donor Network of Arizona,AZUA-TX1 Banner University Medical Center-Tucson,85724,105,32.2406,-110.9443
CADN-OP1 Donor Network West,CAMB-TX1 UCSF Medical Center at Mission Bay,94158,57,37.7694,-122.3867
CADN-OP1 Donor Network West,CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,94304,189,37.4334,-122.1842
CADN-OP1 Donor Network West,CAPM-TX1 California Pacific Medical Center-Van Ness Campus,94109,561,37.7917,-122.4186
CADN-OP1 Donor Network West,CASF-TX1 University of California San Francisco Medical Center,94143,1445,37.7631,-122.4586
CADN-OP1 Donor Network West,CASU-TX1 Stanford Health Care,94305,743,37.4236,-122.1619
CAOP-OP1 OneLegacy,CACL-TX1 Childrens Hospital Los Angeles,90027,224,34.104,-118.2925
CAOP-OP1 OneLegacy,CACS-TX1 Cedars-Sinai Medical Center,90048,709,34.0737,-118.372
CAOP-OP1 OneLegacy,CALL-TX1 Loma Linda University Medical Center,92354,772,34.0528,-117.2513
CAOP-OP1 OneLegacy,CARC-TX1 Riverside Community Hospital,92501,16,33.9924,-117.3694
CAOP-OP1 OneLegacy,CASV-TX1 St. Vincent Medical Center,90057,25,34.0622,-118.2763
CAOP-OP1 OneLegacy,CAUC-TX1 University of California at Los Angeles Medical Center,90095,1716,33.7866,-118.2987
CAOP-OP1 OneLegacy,CAUH-TX1 Keck Hospital of USC,90033,1083,34.0487,-118.2084
CASD-IO1 Lifesharing - A Donate Life Organization,CAGH-TX1 Scripps Green Hospital,92037,252,32.89757525,-117.2426546
