DSA,Listing Center,Listing Center Zipcode,Number of Liver Registrations
ALOB-OP1 Legacy of Hope,ALCH-TX1 Children's of Alabama,35233,30
ALOB-OP1 Legacy of Hope,ALUA-TX1 University of Alabama Hospital,35233,840
AROR-OP1 Arkansas Regional Organ Recovery Agency,ARUA-TX1 UAMS Medical Center,72205,271
AZOB-OP1 Donor Network of Arizona,AZCH-TX1 Phoenix Children's Hospital,85016,79
AZOB-OP1 Donor Network of Arizona,AZGS-TX1 Banner-University Medical Center Phoenix,85006,534
AZOB-OP1 Donor Network of Arizona,AZMC-TX1 Mayo Clinic Hospital Arizona,85054,1104
AZOB-OP1 Donor Network of Arizona,AZSJ-TX1 St. Joseph's Hospital and Medical Center,85013,176
AZOB-OP1 Donor Network of Arizona,AZUA-TX1 Banner University Medical Center-Tucson,85724,105
CADN-OP1 Donor Network West,CAMB-TX1 UCSF Medical Center at Mission Bay,94158,57
CADN-OP1 Donor Network West,CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,94304,189
CADN-OP1 Donor Network West,CAPM-TX1 California Pacific Medical Center-Van Ness Campus,94109,561
CADN-OP1 Donor Network West,CASF-TX1 University of California San Francisco Medical Center,94143,1445
CADN-OP1 Donor Network West,CASU-TX1 Stanford Health Care,94305,743
CAOP-OP1 OneLegacy,CACL-TX1 Childrens Hospital Los Angeles,90027,224
CAOP-OP1 OneLegacy,CACS-TX1 Cedars-Sinai Medical Center,90048,709
CAOP-OP1 OneLegacy,CALL-TX1 Loma Linda University Medical Center,92354,772
CAOP-OP1 OneLegacy,CARC-TX1 Riverside Community Hospital,92501,16
CAOP-OP1 OneLegacy,CASV-TX1 St. Vincent Medical Center,90057,25
CAOP-OP1 OneLegacy,CAUC-TX1 University of California at Los Angeles Medical Center,90095,1716
CAOP-OP1 OneLegacy,CAUH-TX1 Keck Hospital of USC,90033,1083
CASD-IO1 Lifesharing - A Donate Life Organization,CAGH-TX1 Scripps Green Hospital,92037,252
CASD-IO1 Lifesharing - A Donate Life Organization,CASD-TX1 University of California San Diego Medical Center,92037,560
CORS-OP1 Donor Alliance,COCH-TX1 Children's Hospital Colorado,80045,77
CORS-OP1 Donor Alliance,COPM-TX1 Centura Transplant,80210,63
CORS-OP1 Donor Alliance,COSL-TX1 Presbyterian/St Luke's Medical Center,80218,317
CORS-OP1 Donor Alliance,COUC-TX1 University of Colorado Hospital/Health Science Center,80045,687
FLFH-IO1 OurLegacy,FLFH-TX1 AdventHealth Orlando,32803,418
FLMP-OP1 Life Alliance Organ Recovery Agency,FLBC-TX1 Broward Health Medical Center,33316,95
FLMP-OP1 Life Alliance Organ Recovery Agency,FLCC-TX1 Cleveland Clinic Florida Weston,33331,357
FLMP-OP1 Life Alliance Organ Recovery Agency,FLJM-TX1 Jackson Memorial Hospital University of Miami School of Medicine,33136,1013
FLUF-IO1 LifeQuest Organ Recovery Services,FLSL-TX1 Mayo Clinic Hospital Florida,32224,897
FLUF-IO1 LifeQuest Organ Recovery Services,FLUF-TX1 UF Health Shands Hospital,32610,504
FLWC-OP1 LifeLink of Florida,FLLM-TX1 Largo Medical Center,33770,129
FLWC-OP1 LifeLink of Florida,FLTG-TX1 Tampa General Hospital,33606,960
GALL-OP1 LifeLink of Georgia,GAEH-TX1 Children's Healthcare of Atlanta at Egleston,30322,142
GALL-OP1 LifeLink of Georgia,GAEM-TX1 Emory University Hospital,30322,812
GALL-OP1 LifeLink of Georgia,GAPH-TX1 Piedmont Hospital,30309,950
HIOP-OP1 Legacy of Life Hawaii,HIQM-TX1 The Queen's Medical Center,96813,103
IAOP-OP1 Iowa Donor Network,IAIV-TX1 University of Iowa Hospitals and Clinics Transplant Programs,52242,234
ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,ILCM-TX1 Ann & Robert H. Lurie Children's Hospital of Chicago,60611,82
ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,ILLU-TX1 Loyola University Medical Center,60153,452
ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,ILNM-TX1 Northwestern Memorial Hospital,60611,684
ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,ILPL-TX1 Rush University Medical Center,60612,258
ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,ILUC-TX1 University of Chicago Medical Center,60637,417
ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,ILUI-TX1 University of Illinois Medical Center,60612,394
INOP-OP1 Indiana Donor Network,INIM-TX1 Indiana University Health,46202,979
