OPO_ID.x,ALOB,AROR,AZOB,CADN,CAGS,CAOP,CASD,CORS,CTOP,DCTC,FLFH,FLMP,FLUF,FLWC,GALL,HIOP,IAOP,ILIP,INOP,KYDA,LAOP,MAOB,MDPC,MIOP,MNOP,MOMA,MSOP,MWOB,NCCM,NCNC,NEOR,NJTO,NMOP,NVLV,NYAP,NYFL,NYRT,NYWN,OHLB,OHLC,OHLP,OHOV,OKOP,ORUO,PADV,PATF,PRLL,SCOP,TNDS,TNMS,TXGC,TXSA,TXSB,UTOP,VATB,WALC,WIDN,WIUW
ALOB,0,387.1962336,1449.115172,1981.207188,1967.07457,1801.769157,1753.618768,1135.726284,984.1409112,668.4122415,444.7895109,606.6991209,277.890357,428.4987852,168.5078286,4355.577783,714.9489564,598.8466277,489.2492829,342.7975098,324.1131789,1056.819316,704.2612524,691.1992281,951.9723565,417.9331193,184.3666159,613.6756218,344.3705432,471.8290041,810.5649433,863.1411552,1133.323878,1640.202836,967.1128156,880.993392,892.2718482,801.9624437,636.5124328,548.7289031,531.6655073,446.4880381,606.7119356,2033.626892,786.6817385,626.3648323,1618.312101,335.7305032,218.2736378,220.8186119,594.5204127,734.8409405,639.8211104,1498.139772,586.3512301,2132.227183,701.3816516,790.6542114
AROR,387.1962336,0,1082.087555,1595.412482,1580.29263,1426.474445,1384.615238,751.6537745,1192.362862,905.9354364,821.6659704,970.3872834,654.256895,790.9515587,535.4463973,3982.571756,476.4866073,513.9122707,504.5182829,471.3894846,313.8427398,1261.145232,938.1560966,711.3472865,709.8413312,246.8124888,285.3145164,271.0476164,655.5188552,782.640736,479.8376412,1083.899818,760.1881426,1257.321577,1140.69636,1024.408852,1112.427375,925.9863998,750.8362426,620.5800635,657.6435839,546.9284837,221.79672,1653.522236,1007.200658,798.2277062,2000.67129,684.9005029,428.5820356,184.9648585,351.3754745,517.5935527,341.9054016,1112.762909,859.1408284,1765.738706,611.3635243,657.4240132
AZOB,1449.115172,1082.087555,0,627.894182,648.1066582,364.2049568,304.6392236,574.3218258,2205.597642,1956.428814,1833.576887,1943.035248,1678.955397,1779.804227,1610.37216,2906.69711,1180.532521,1405.633974,1487.63475,1523.68985,1199.207877,2266.684129,1984.795516,1632.044017,1225.660734,1231.51509,1289.259867,995.5527327,1736.920185,1862.507719,964.0904163,2113.405846,324.4117755,293.7827353,2129.077702,1998.494597,2139.725028,1896.278762,1741.897914,1608.902101,1673.253896,1570.500835,865.5684426,951.0081629,2041.536279,1820.974949,2984.603728,1765.883053,1506.809065,1266.910818,903.9004109,851.0419605,828.880792,524.1300912,1927.236274,1191.333174,1449.315585,1413.291551
CADN,1981.207188,1595.412482,627.894182,0,68.09115582,319.1771898,420.7554531,885.8453534,2581.397184,2382.321107,2397.692686,2523.484757,2235.17364,2352.238249,2129.476044,2426.389406,1530.049945,1781.135241,1897.715008,1976.592548,1775.095125,2632.202776,2405.050539,1988.79663,1474.417796,1680.345391,1842.872573,1429.408015,2223.783964,2339.460654,1314.456804,2509.539823,873.6812566,354.0007955,2487.602181,2354.691977,2532.352785,2257.652872,2130.957468,2008.65648,2085.686545,1997.429531,1374.550149,484.4959543,2446.133146,2227.985304,3569.231092,2269.598888,1991.238163,1775.633934,1494.103897,1465.836201,1409.254922,552.6859645,2377.257914,753.3818721,1790.983339,1722.916592
CAGS,1967.07457,1580.29263,648.1066582,68.09115582,0,366.1305352,467.0355034,858.0185388,2544.031451,2351.317193,2388.408944,2517.741662,2224.672786,2344.939746,2112.545378,2460.684923,1495.246084,1747.182166,1866.933922,1950.662238,1770.465169,2593.601859,2373.286898,1951.70549,1430.65443,1655.621407,1833.291742,1404.925985,2201.482041,2315.316483,1281.990274,2474.628414,873.699484,362.0770574,2448.712434,2316.009028,2496.976764,2219.861438,2096.651521,1976.11365,2054.243433,1968.131316,1360.605419,418.3473388,2412.390366,2195.30881,3563.039265,2249.68444,1969.548042,1758.67082,1494.239875,1473.695611,1407.598492,513.4973081,2349.31564,687.7733927,1753.4609,1682.718815
CAOP,1801.769157,1426.474445,364.2049568,319.1771898,366.1305352,0,101.5855363,806.3294937,2504.861675,2274.608589,2194.790868,2306.604506,2038.372912,2142.286757,1959.868912,2556.098231,1456.784086,1697.550644,1795.607309,1849.439117,1561.349878,2561.97653,2300.914374,1918.32408,1453.458289,1552.778814,1647.026362,1306.896962,2076.524534,2199.28289,1235.574751,2420.556299,668.4469996,221.1195042,2420.477867,2287.924067,2445.593395,2187.140457,2043.37765,1913.712725,1983.962212,1886.279995,1205.944501,761.7983977,2351.702795,2130.621253,3348.72415,2111.227451,1844.239672,1611.192563,1267.460577,1213.658884,1190.755179,574.1658115,2254.546299,1028.996455,1726.44091,1674.82081
CASD,1753.618768,1384.615238,304.6392236,420.7554531,467.0355034,101.5855363,0,807.3046699,2488.850725,2249.131408,2136.657885,2243.164049,1982.953424,2081.795101,1914.45627,2602.080683,1448.250997,1683.440189,1774.538023,1819.447265,1501.87486,2547.830877,2276.529279,1907.103195,1462.145575,1524.701626,1593.739001,1283.000204,2038.406818,2163.082581,1227.767416,2400.748833,624.6149525,260.5324636,2407.889812,2276.01179,2426.427199,2174.458154,2025.747829,1894.334463,1961.895809,1861.5662,1166.415125,856.6308135,2330.356433,2109.271369,3282.100556,2069.097464,1807.372773,1569.567222,1204.924035,1141.194939,1132.099789,617.5360976,2224.082886,1122.039178,1718.476776,1672.677291
CORS,1135.726284,751.6537745,574.3218258,885.8453534,858.0185388,806.3294937,807.3046699,0,1707.118557,1497.009924,1573.282248,1719.002546,1405.909352,1540.455792,1269.715722,3310.945719,654.1384545,900.9657418,1012.503068,1092.713354,998.3189292,1761.718046,1520.304517,1116.552696,656.7796464,798.4868076,1026.945752,548.5727674,1346.309839,1458.110004,433.8895065,1629.283038,362.1441766,594.3388783,1618.82235,1485.865022,1653.038766,1386.151412,1250.326063,1125.214649,1200.875527,1111.591754,547.0794968,903.9292716,1563.837991,1344.40864,2752.280524,1398.521309,1115.799103,919.0035918,781.7385916,842.005858,688.5010135,363.2911762,1491.722293,1040.061626,922.2045858,868.4978098
CTOP,984.1409112,1192.362862,2205.597642,2581.397184,2544.031451,2504.861675,2488.850725,1707.118557,0,317.137551,1037.840591,1169.777921,1009.199391,1102.87526,846.8129659,5003.924424,1053.525954,807.4794212,719.2601023,722.4752952,1300.037684,72.71679438,281.2491058,592.6050638,1131.314048,985.4009328,1156.902217,1210.237357,654.3316933,552.1969533,1273.240512,122.7043656,1886.0355,2299.897697,113.8857497,233.5872883,94.92269685,324.4223998,463.7048554,597.0920163,539.4187278,648.561603,1371.35174,2443.074955,197.5081549,394.5128314,1668.76649,708.8633288,798.6006757,1036.830145,1521.105721,1681.388805,1531.706431,2030.572024,415.1211056,2427.168378,790.5895887,865.876456
DCTC,668.4122415,905.9354364,1956.428814,2382.321107,2351.317193,2274.608589,2249.131408,1497.009924,317.137551,0,750.3309856,898.9052663,701.4866995,808.4586903,529.9030174,4807.943906,862.1352761,610.3735298,484.6061054,436.9320668,987.130491,389.7963549,35.93000412,449.7784442,998.8146787,724.9684993,843.93547,967.7140257,337.8551347,246.9930731,1069.556989,195.0475045,1632.759765,2079.290437,322.8985313,292.7632549,224.0289997,282.0810581,278.8439,378.1707477,297.2759304,388.3681298,1100.997861,2299.117946,120.5044394,166.4182395,1566.725583,398.4623917,492.6949109,738.7672654,1220.442244,1377.352337,1238.69474,1840.942901,111.1392053,2318.342584,633.025394,730.7436414
